ids_counterpart-area_id,ids_counterpart-area_name
918,European Development Fund (EDF)
919,European Investment Bank
920,Corporacion Andina de Fomento
921,Arab Fund for Economic & Social Development
922,Arab African International Bank
924,European Coal and Steel Community (ECSC)
925,UN-Industrial Development Organization (UNIDO)
926,Council of Europe
927,EUROFIMA
931,World Health Organization
932,Food and Agriculture Organization (FAO)
933,UN-World Meteorological Organization
939,Latin Amer. Conf. of Saving & Credit Coop. (COLAC)
940,International Labour Organization (ILO)
942,"UN-Educ., Scientific and Cultural Org. (UNESCO)"
946,Latin American Agribusiness Dev. Corp. (LAAD)
947,Arab League
948,Entente Council
950,Nordic Development Fund
951,OPEC Fund for International Dev.
952,Org. of Arab Petroleum Exporting Countries (OAPEC)
953,Arab Bank for Economic Dev. in Africa (BADEA)
957,West African Development Bank - BOAD
958,European Relief Fund
959,UN-Development Programme (UNDP)
960,UN-Regular Programme of Technical Assistance
961,European Social Fund (ESF)
962,Foreign Trade Bank of Latin America (BLADEX)
963,UN-Children's Fund (UNICEF)
964,UN-Relief and Works Agency (UNRWA)
966,UN-World Food Programme (WFP)
967,UN-High Commissioner for Refugees (UNHCR)
969,Nordic Investment Bank
970,West African Monetary Union (UMOA)
971,Central Bank of West African States (BCEAO)
973,Arab Monetary Fund
974,UN-Population Fund (UNFPA)
975,European Union
976,Islamic Dev. Bank
977,Eurasian Development Bank
978,Nordic Environment Finance Corporation (NEFCO)
979,Islamic Solidarity Fund for Dev. (ISFD)
980,Arab Fund for Tech. Assist. to African Countries
983,Arab Towns Organization (ATO)
987,European Free Trade Association (EFTA)
988,International Fund for Agricultural Dev.
990,European Bank for Reconstruction and Dev. (EBRD)
991,South Asian Development Fund (SADF)
992,Center for Latin American Monetary Studies (CEMLA)
993,Dev. Bank of the Central African States (BDEAC)
994,Multiple Lenders
997,Economic Community of West African States (ECOWAS)
BND,Bondholders
FCW,Other Multiple Lenders
WLD,World
